Material category;Salvage;Maintanance and Replacement
Adhesives, sealents, chemicals and glues (㎏);0;1
Backfilling material (㎥);0;0
Ceiling material (㎡);1;1
Cladding material - External wall  (㎡);1;1
Cladding material- Internal  (㎡);1;1
Glass panes (㎡);1;1
Insulation materials - Acoustic (㎡);1;1
Insulation materials - General (㎡);1;1
Partitioning materials  (㎡);1;1
Ready mix concrete - Special purposes (㎥);1;1
Roofing material (㎡);1;1
Timber - Plain (softwood and hardwood) (㎥);1;1
Timber - Treated or coated timber/ CLT, glulam, LVL/ Plywood (㎥);1;1
Waterproofing (㎥);0;1
Alternative concrete binders (㎥);1;1
Aluminum material (㎡) ;1;1
Asphalt (㎥) ;1;1
Bitumen and other roofing material (㎡);1;1
Bricks and blocks (㎡);1;1
Cables - wiring (㎏);1;1
Cement (㎏) ;1;0
Communication systems (㎏);1;1
Concrete admixtures (㎏);0;1
Copper material (㎏);1;1
Doors and windows (㎏);1;1
Electrification components  (㎏);1;1
Elevators and escalators (㎏);1;1
Energy production systems (㎏);1;1
Fiberboard (MDF) (㎥);1;1
Flooring material (㎡);1;1
Furniture (㎏);1;1
Glass facades (㎡);1;1
Gypsum plaster material (interior applications) (㎥);1;1
Hot-dip galvanized/zinc coated steel (㎡);1;1
HVAC components and equipment (㎏);1;1
Light fittings (㎏) ;1;1
Natural stones (㎥);1;1
Other building systems [Roller shutters, ventilation blinds etc] (㎡);1;1
Other metals (㎥);1;1
Other steel/iron (㎥);1;1
Paints, coatings,  lacquers and other  finishes (㎥);0;1
Partitioning - movable wall systems (㎡);1;1
Pipes (water, heating, sewage) (㎏);1;1
Plastic membranes (㎡);0;1
Plastic profiles and products (㎏);0;1
Precast concrete elements (beams, columns, piling, slabs (hollow and solid), walls, other) (㎥) ;1;1
Ready-mix concrete (㎥);1;1
Recycled material - soil and aggregates (㎥);1;0
Reinforcement for concrete (rebar) (kg);1;1
Sand, rubble, soil and gravel (㎥);1;0
Sandwich panels ( Partitioning and roofing) (㎡);1;1
Sanitary ware (㎏);1;1
Stainless steel (kg);1;1
Structural steel and steel profiles (kg);1;1
Ventilation ducts and channels (㎏);1;1
Wall tiles (㎡);1;1
Water heating equipment (kg);1;1
Miscellaneous  Items;1;1
